Frame No.,Manufacturer,License Plate,Colour,Time Stamp(s)
frame29.jpg,Suzuki,MH02CB5163,White,2.9
frame33.jpg,Suzuki,MH02CB5163,White,3.3
frame34.jpg,Suzuki,MH02CB5163,White,3.4
frame5.jpg,Hyundai,MH01BU7584,Black,0.5
